num_bins,connectivity,mean_iou,mean_dice,mean_pixel_error,n_images
4,4,0.7771739111602691,0.8603465014045922,0.06536936014502615,30
4,8,0.8076057841694635,0.8822454296870992,0.052763280213667454,30
8,4,0.7827605523584625,0.8639429739252652,0.06942419965774203,30
8,8,0.8107329294265068,0.8832163681974691,0.057451417933102475,30
16,4,0.7701643195169101,0.853165110896742,0.0813630135379094,30
16,8,0.8024101578600201,0.8747522387973127,0.06855677340627228,30
